,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Lag1,Close_Lag2,Close_Lag3,Close_Lag4,Close_Lag5,Close_Lag6,Close_Lag7,Close_Lag8,Close_Lag9,Close_Lag10,Close_Lag11,Close_Lag12,Close_Lag13,Close_Lag14,Close_Lag15,Close_Lag16,Close_Lag17,Close_Lag18,Close_Lag19,Stock_AAPL,Stock_AMZN,Stock_GOOGL,Stock_MSFT,Stock_TSLA
0,2024-02-26 00:00:00-05:00,181.5829745492965,182.10108884357552,179.99869543060538,0.17018198004089857,40867400,0.0,0.0,0.18450411890308804,0.20398649825503012,0.1823980595676602,0.17439409871175404,0.1822925872646226,0.19861579697710563,0.20166965558616146,0.21104233729203892,0.23326280343446193,0.25116583987562646,0.24305705180722104,0.2545211170387762,0.25336414715805367,0.23632537076578686,0.21707844946038168,0.2277011553571544,0.20182770276808348,0.2401118909538953,0.2789219892011843,True,False,False,False,False
1,2024-02-27 00:00:00-05:00,180.4470750372319,183.25690001064538,178.9126187804792,0.18566254023752227,54318900,0.0,0.0,0.17018198004089857,0.18450411890308804,0.20398649825503012,0.1823980595676602,0.17439409871175404,0.1822925872646226,0.19861579697710563,0.20166965558616146,0.21104233729203892,0.23326280343446193,0.25116583987562646,0.24305705180722104,0.2545211170387762,0.25336414715805367,0.23632537076578686,0.21707844946038168,0.2277011553571544,0.20182770276808348,0.2401118909538953,True,False,False,False,False
2,2024-02-28 00:00:00-05:00,181.85199678307725,182.45979817680953,179.48058766314844,0.17292006683137973,48953900,0.0,0.0,0.18566254023752227,0.17018198004089857,0.18450411890308804,0.20398649825503012,0.1823980595676602,0.17439409871175404,0.1822925872646226,0.19861579697710563,0.20166965558616146,0.21104233729203892,0.23326280343446193,0.25116583987562646,0.24305705180722104,0.2545211170387762,0.25336414715805367,0.23632537076578686,0.21707844946038168,0.2277011553571544,0.20182770276808348,True,False,False,False,False
3,2024-02-29 00:00:00-05:00,180.61647239906964,181.91178855608587,178.88274013933005,0.16586422779437093,136682600,0.0,0.0,0.17292006683137973,0.18566254023752227,0.17018198004089857,0.18450411890308804,0.20398649825503012,0.1823980595676602,0.17439409871175404,0.1822925872646226,0.19861579697710563,0.20166965558616146,0.21104233729203892,0.23326280343446193,0.25116583987562646,0.24305705180722104,0.2545211170387762,0.25336414715805367,0.23632537076578686,0.21707844946038168,0.2277011553571544,True,False,False,False,False
4,2024-03-01 00:00:00-05:00,178.9026640457765,179.87912655443867,176.74048946042234,0.15438532548043105,73488000,0.0,0.0,0.16586422779437093,0.17292006683137973,0.18566254023752227,0.17018198004089857,0.18450411890308804,0.20398649825503012,0.1823980595676602,0.17439409871175404,0.1822925872646226,0.19861579697710563,0.20166965558616146,0.21104233729203892,0.23326280343446193,0.25116583987562646,0.24305705180722104,0.2545211170387762,0.25336414715805367,0.23632537076578686,0.21707844946038168,True,False,False,False,False
5,2024-03-04 00:00:00-05:00,175.51490641269265,176.26220237846417,173.16341449891394,0.10636365688924432,81510100,0.0,0.0,0.15438532548043105,0.16586422779437093,0.17292006683137973,0.18566254023752227,0.17018198004089857,0.18450411890308804,0.20398649825503012,0.1823980595676602,0.17439409871175404,0.1822925872646226,0.19861579697710563,0.20166965558616146,0.21104233729203892,0.23326280343446193,0.25116583987562646,0.24305705180722104,0.2545211170387762,0.25336414715805367,0.23632537076578686,True,False,False,False,False
6,2024-03-05 00:00:00-05:00,170.14434479927544,171.4197287337638,169.00845550750375,0.05391892502112672,95132400,0.0,0.0,0.10636365688924432,0.15438532548043105,0.16586422779437093,0.17292006683137973,0.18566254023752227,0.17018198004089857,0.18450411890308804,0.20398649825503012,0.1823980595676602,0.17439409871175404,0.1822925872646226,0.19861579697710563,0.20166965558616146,0.21104233729203892,0.23326280343446193,0.25116583987562646,0.24305705180722104,0.2545211170387762,0.25336414715805367,True,False,False,False,False
7,2024-03-06 00:00:00-05:00,170.44326190896186,170.6226208472031,168.0718378391885,0.04338782198081481,68587700,0.0,0.0,0.05391892502112672,0.10636365688924432,0.15438532548043105,0.16586422779437093,0.17292006683137973,0.18566254023752227,0.17018198004089857,0.18450411890308804,0.20398649825503012,0.1823980595676602,0.17439409871175404,0.1822925872646226,0.19861579697710563,0.20166965558616146,0.21104233729203892,0.23326280343446193,0.25116583987562646,0.24305705180722104,0.2545211170387762,True,False,False,False,False
8,2024-03-07 00:00:00-05:00,168.5401544147667,170.1144598371159,167.8825454793763,0.04212425088861216,71765100,0.0,0.0,0.04338782198081481,0.05391892502112672,0.10636365688924432,0.15438532548043105,0.16586422779437093,0.17292006683137973,0.18566254023752227,0.17018198004089857,0.18450411890308804,0.20398649825503012,0.1823980595676602,0.17439409871175404,0.1822925872646226,0.19861579697710563,0.20166965558616146,0.21104233729203892,0.23326280343446193,0.25116583987562646,0.24305705180722104,True,False,False,False,False
9,2024-03-08 00:00:00-05:00,168.39069767067738,173.0737495355564,168.33091642363513,0.06034289787571678,76114600,0.0,0.0,0.04212425088861216,0.04338782198081481,0.05391892502112672,0.10636365688924432,0.15438532548043105,0.16586422779437093,0.17292006683137973,0.18566254023752227,0.17018198004089857,0.18450411890308804,0.20398649825503012,0.1823980595676602,0.17439409871175404,0.1822925872646226,0.19861579697710563,0.20166965558616146,0.21104233729203892,0.23326280343446193,0.25116583987562646,True,False,False,False,False
