,Open,High,Low,Close,Volume,EMA,Bollinger_Upper,Bollinger_Lower,Close_Lag1,Close_Lag2,Close_Lag3,Close_Lag4,Close_Lag5,Close_Lag6,Close_Lag7,Close_Lag8,Close_Lag9,Close_Lag10,Close_Lag11,Close_Lag12,Close_Lag13,Close_Lag14,Close_Lag15,Close_Lag16,Close_Lag17,Close_Lag18,Close_Lag19,Trend,Stock_name
2025-01-17,232.115,232.29,228.48,229.98,68488301,230.91109654836563,244.9485550714001,219.18744492859997,222.64,223.83,223.66,222.78,229.86,238.26,239.36,237.59,236.0,228.01,232.8,232.47,233.22,227.63,227.65,232.62,236.87,241.53,244.6,235.50559999999996,AAPL
2025-01-16,237.35,238.01,228.03,228.26,71759052,230.658611162807,242.7873624660189,219.71463753398106,229.98,222.64,223.83,223.66,222.78,229.86,238.26,239.36,237.59,236.0,228.01,232.8,232.47,233.22,227.63,227.65,232.62,236.87,241.53,236.43039999999996,AAPL
2025-01-15,234.635,238.96,234.43,237.87,39831969,231.34541009968254,242.01908665600683,220.11691334399325,228.26,229.98,222.64,223.83,223.66,222.78,229.86,238.26,239.36,237.59,236.0,228.01,232.8,232.47,233.22,227.63,227.65,232.62,236.87,237.4792,AAPL
2025-01-14,234.75,236.12,232.472,233.28,39435294,231.52965675685562,241.55310209734705,220.223897902653,237.87,228.26,229.98,222.64,223.83,223.66,222.78,229.86,238.26,239.36,237.59,236.0,228.01,232.8,232.47,233.22,227.63,227.65,232.62,238.6868,AAPL
2025-01-13,233.53,234.67,229.72,234.4,49630725,231.80302278001224,241.73227250242653,220.22272749757352,233.28,237.87,228.26,229.98,222.64,223.83,223.66,222.78,229.86,238.26,239.36,237.59,236.0,228.01,232.8,232.47,233.22,227.63,227.65,239.4576,AAPL
2025-01-10,240.01,240.16,233.0,236.85,61710856,232.28368727715392,242.37840706332992,220.49659293667008,234.4,233.28,237.87,228.26,229.98,222.64,223.83,223.66,222.78,229.86,238.26,239.36,237.59,236.0,228.01,232.8,232.47,233.22,227.63,240.1336,AAPL
2025-01-08,241.92,243.7123,240.05,242.7,37628940,233.2757170602821,244.0638614029954,220.31813859700455,236.85,234.4,233.28,237.87,228.26,229.98,222.64,223.83,223.66,222.78,229.86,238.26,239.36,237.59,236.0,228.01,232.8,232.47,233.22,240.5508,AAPL
2025-01-07,242.98,245.55,241.35,242.21,40855960,234.12660114977905,245.33001904857758,219.95098095142248,242.7,236.85,234.4,233.28,237.87,228.26,229.98,222.64,223.83,223.66,222.78,229.86,238.26,239.36,237.59,236.0,228.01,232.8,232.47,240.9424,AAPL
2025-01-06,244.31,247.33,243.2,245.0,45045571,235.1621629450382,247.1062395592731,219.4277604407269,242.21,242.7,236.85,234.4,233.28,237.87,228.26,229.98,222.64,223.83,223.66,222.78,229.86,238.26,239.36,237.59,236.0,228.01,232.8,241.8872,AAPL
2025-01-03,243.36,244.18,241.89,243.36,40244114,235.94290933122505,248.3466611459058,219.24333885409416,245.0,242.21,242.7,236.85,234.4,233.28,237.87,228.26,229.98,222.64,223.83,223.66,222.78,229.86,238.26,239.36,237.59,236.0,228.01,243.01760000000002,AAPL
2025-01-02,248.93,249.1,241.8201,243.85,55740731,236.6959655853941,249.53186724069863,219.64213275930135,243.36,245.0,242.21,242.7,236.85,234.4,233.28,237.87,228.26,229.98,222.64,223.83,223.66,222.78,229.86,238.26,239.36,237.59,236.0,243.9964,AAPL
2024-12-31,252.44,253.28,249.43,250.42,39480718,238.00301648202324,251.84630335598965,218.76969664401034,243.85,243.36,245.0,242.21,242.7,236.85,234.4,233.28,237.87,228.26,229.98,222.64,223.83,223.66,222.78,229.86,238.26,239.36,237.59,244.96159999999998,AAPL
2024-12-30,252.23,253.5,250.75,252.2,35557542,239.355110150402,254.21111128876728,217.86588871123266,250.42,243.85,243.36,245.0,242.21,242.7,236.85,234.4,233.28,237.87,228.26,229.98,222.64,223.83,223.66,222.78,229.86,238.26,239.36,245.91559999999996,AAPL
2024-12-27,257.83,258.7,253.06,255.59,42355321,240.90129013607802,256.99012073344886,216.70987926655113,252.2,250.42,243.85,243.36,245.0,242.21,242.7,236.85,234.4,233.28,237.87,228.26,229.98,222.64,223.83,223.66,222.78,229.86,238.26,246.62719999999996,AAPL
2024-12-26,258.19,260.1,257.63,259.02,27262983,242.62688155168962,260.341170541561,215.43482945843897,255.59,252.2,250.42,243.85,243.36,245.0,242.21,242.7,236.85,234.4,233.28,237.87,228.26,229.98,222.64,223.83,223.66,222.78,229.86,247.36679999999998,AAPL
2024-12-24,255.49,258.21,255.29,258.2,23234705,244.11003568962394,263.1583188687158,215.4516811312842,259.02,255.59,252.2,250.42,243.85,243.36,245.0,242.21,242.7,236.85,234.4,233.28,237.87,228.26,229.98,222.64,223.83,223.66,222.78,247.56559999999996,AAPL
2024-12-23,254.77,255.65,253.45,255.27,40858774,245.17288943346927,264.46752967651787,217.3914703234822,258.2,259.02,255.59,252.2,250.42,243.85,243.36,245.0,242.21,242.7,236.85,234.4,233.28,237.87,228.26,229.98,222.64,223.83,223.66,247.95599999999993,AAPL
2024-12-20,248.04,255.0,245.69,254.49,147495267,246.06023329694838,265.2736387208056,219.66836127919441,255.27,258.2,259.02,255.59,252.2,250.42,243.85,243.36,245.0,242.21,242.7,236.85,234.4,233.28,237.87,228.26,229.98,222.64,223.83,248.30039999999997,AAPL
2024-12-19,247.5,252.0,247.0949,249.79,60882264,246.4154491734295,265.0054948044386,222.53250519556127,254.49,255.27,258.2,259.02,255.59,252.2,250.42,243.85,243.36,245.0,242.21,242.7,236.85,234.4,233.28,237.87,228.26,229.98,222.64,248.53239999999997,AAPL
2024-12-18,252.16,254.28,247.74,248.05,56774101,246.57112068072192,263.85609567061965,226.22290432938033,249.79,254.49,255.27,258.2,259.02,255.59,252.2,250.42,243.85,243.36,245.0,242.21,242.7,236.85,234.4,233.28,237.87,228.26,229.98,248.408,AAPL
2024-12-17,250.08,253.83,249.78,253.48,51356360,247.22910918731984,263.9769458664312,228.45205413356877,248.05,249.79,254.49,255.27,258.2,259.02,255.59,252.2,250.42,243.85,243.36,245.0,242.21,242.7,236.85,234.4,233.28,237.87,228.26,248.2128,AAPL
2024-12-16,247.99,251.38,247.65,251.04,51694753,247.59205116947984,263.07222001619004,231.63477998380998,253.48,248.05,249.79,254.49,255.27,258.2,259.02,255.59,252.2,250.42,243.85,243.36,245.0,242.21,242.7,236.85,234.4,233.28,237.87,247.80999999999997,AAPL
2024-12-13,247.815,249.2902,246.24,248.13,33155290,247.64328439143412,262.93842618570613,232.7945738142939,251.04,253.48,248.05,249.79,254.49,255.27,258.2,259.02,255.59,252.2,250.42,243.85,243.36,245.0,242.21,242.7,236.85,234.4,233.28,247.47799999999998,AAPL
2024-12-12,246.89,248.74,245.68,247.96,32777532,247.6734477827261,262.0207650769963,235.18023492300367,248.13,251.04,253.48,248.05,249.79,254.49,255.27,258.2,259.02,255.59,252.2,250.42,243.85,243.36,245.0,242.21,242.7,236.85,234.4,247.03879999999995,AAPL
2024-12-11,247.96,250.8,246.2601,246.49,45205814,247.5607384700855,260.911797845247,237.49820215475305,247.96,248.13,251.04,253.48,248.05,249.79,254.49,255.27,258.2,259.02,255.59,252.2,250.42,243.85,243.36,245.0,242.21,242.7,236.85,246.21679999999998,AAPL
2024-12-10,246.89,248.21,245.34,247.77,36914806,247.5806681396012,259.9535196062441,239.54848039375588,246.49,247.96,248.13,251.04,253.48,248.05,249.79,254.49,255.27,258.2,259.02,255.59,252.2,250.42,243.85,243.36,245.0,242.21,242.7,245.26959999999997,AAPL
2024-12-09,241.83,247.24,241.75,246.75,44649232,247.5015568882106,259.7181349542356,240.1888650457644,247.77,246.49,247.96,248.13,251.04,253.48,248.05,249.79,254.49,255.27,258.2,259.02,255.59,252.2,250.42,243.85,243.36,245.0,242.21,244.206,AAPL
2024-12-06,242.905,244.63,242.08,242.84,36870619,247.0575990893334,259.64799179997175,240.32200820002822,246.75,247.77,246.49,247.96,248.13,251.04,253.48,248.05,249.79,254.49,255.27,258.2,259.02,255.59,252.2,250.42,243.85,243.36,245.0,242.9764,AAPL
2024-12-05,243.99,244.54,242.13,243.04,40033878,246.67497060463498,259.7993996775971,239.97460032240292,242.84,246.75,247.77,246.49,247.96,248.13,251.04,253.48,248.05,249.79,254.49,255.27,258.2,259.02,255.59,252.2,250.42,243.85,243.36,241.76920000000004,AAPL
2024-12-04,242.87,244.11,241.25,243.01,44383935,246.32592578514593,259.8315299664595,239.9074700335405,243.04,242.84,246.75,247.77,246.49,247.96,248.13,251.04,253.48,248.05,249.79,254.49,255.27,258.2,259.02,255.59,252.2,250.42,243.85,240.55840000000003,AAPL
2024-12-03,239.81,242.76,238.9,242.65,38861017,245.97583761513204,259.9372575322272,239.68174246777278,243.01,243.04,242.84,246.75,247.77,246.49,247.96,248.13,251.04,253.48,248.05,249.79,254.49,255.27,258.2,259.02,255.59,252.2,250.42,239.5076,AAPL
2024-12-02,237.27,240.79,237.16,239.59,48137103,245.36766260416707,260.369593247439,238.16640675256093,242.65,243.01,243.04,242.84,246.75,247.77,246.49,247.96,248.13,251.04,253.48,248.05,249.79,254.49,255.27,258.2,259.02,255.59,252.2,238.52079999999998,AAPL
2024-11-29,234.81,237.81,233.97,237.33,28481377,244.60217092757972,260.7356156867747,236.31338431322533,239.59,242.65,243.01,243.04,242.84,246.75,247.77,246.49,247.96,248.13,251.04,253.48,248.05,249.79,254.49,255.27,258.2,259.02,255.59,237.568,AAPL
2024-11-27,234.465,235.69,233.8101,234.93,33498439,243.68101179161977,260.64505669331356,234.3379433066864,237.33,239.59,242.65,243.01,243.04,242.84,246.75,247.77,246.49,247.96,248.13,251.04,253.48,248.05,249.79,254.49,255.27,258.2,259.02,236.39800000000005,AAPL
2024-11-26,233.33,235.57,233.33,235.06,45986189,242.85996304956072,259.3903702970959,233.1966297029042,234.93,237.33,239.59,242.65,243.01,243.04,242.84,246.75,247.77,246.49,247.96,248.13,251.04,253.48,248.05,249.79,254.49,255.27,258.2,235.43480000000002,AAPL
2024-11-25,231.46,233.245,229.74,232.87,90152832,241.9085379972216,258.17476923243925,231.8792307675607,235.06,234.93,237.33,239.59,242.65,243.01,243.04,242.84,246.75,247.77,246.49,247.96,248.13,251.04,253.48,248.05,249.79,254.49,255.27,234.6088,AAPL
2024-11-22,228.06,230.7199,228.06,229.87,38168252,240.7620105689148,257.6260174964124,229.88798250358764,232.87,235.06,234.93,237.33,239.59,242.65,243.01,243.04,242.84,246.75,247.77,246.49,247.96,248.13,251.04,253.48,248.05,249.79,254.49,233.5992,AAPL
2024-11-21,228.88,230.155,225.7103,228.52,42108327,239.59610480044674,256.9455734031921,227.97142659680793,229.87,232.87,235.06,234.93,237.33,239.59,242.65,243.01,243.04,242.84,246.75,247.77,246.49,247.96,248.13,251.04,253.48,248.05,249.79,232.67759999999998,AAPL
2024-11-20,228.06,229.93,225.89,229.0,35169566,238.58695196230894,256.65522262898526,226.1827773710148,228.52,229.87,232.87,235.06,234.93,237.33,239.59,242.65,243.01,243.04,242.84,246.75,247.77,246.49,247.96,248.13,251.04,253.48,248.05,231.6472,AAPL
2024-11-19,226.98,230.16,226.66,228.28,36211774,237.60533748970812,256.4028266933782,224.45817330662186,229.0,228.52,229.87,232.87,235.06,234.93,237.33,239.59,242.65,243.01,243.04,242.84,246.75,247.77,246.49,247.96,248.13,251.04,253.48,230.69359999999995,AAPL
2024-11-18,225.25,229.74,225.17,228.02,44686020,236.69244820497403,254.80572354134804,223.5092764586519,228.28,229.0,228.52,229.87,232.87,235.06,234.93,237.33,239.59,242.65,243.01,243.04,242.84,246.75,247.77,246.49,247.96,248.13,251.04,230.01639999999998,AAPL
2024-11-15,226.4,226.92,224.27,225.0,47923696,235.5788817092622,253.67324283584895,222.037757164151,228.02,228.28,229.0,228.52,229.87,232.87,235.06,234.93,237.33,239.59,242.65,243.01,243.04,242.84,246.75,247.77,246.49,247.96,248.13,229.49880000000002,AAPL
2024-11-14,225.02,228.87,225.0,228.22,44923941,234.8780358321896,252.45967476044217,221.2603252395578,225.0,228.02,228.28,229.0,228.52,229.87,232.87,235.06,234.93,237.33,239.59,242.65,243.01,243.04,242.84,246.75,247.77,246.49,247.96,229.12520000000004,AAPL
